GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mend-repo-response/mend-repo-2,aero.sita.bordermanagement.uae.gw.bean,AbstractBaseLocation,32,0,0,0,10,0,5,0,5,0
mend-repo-response/mend-repo-2,aero.sita.bordermanagement.uae.gw.bean,Operator.OperatorBuilder,208,0,8,0,77,0,30,0,26,0
mend-repo-response/mend-repo-2,aero.sita.bordermanagement.uae.gw.bean,PoliticalStateCodeType,33,0,0,0,6,0,1,0,1,0
mend-repo-response/mend-repo-2,aero.sita.bordermanagement.uae.gw.bean,RefDataOracleConfigBean,31,0,0,0,13,0,9,0,9,0
mend-repo-response/mend-repo-2,aero.sita.bordermanagement.uae.gw.bean,TransportStageQualifier,59,0,0,0,25,0,17,0,17,0
mend-repo-response/mend-repo-2,aero.sita.bordermanagement.uae.gw.bean,AirlineEnrollmentConfigurationRowMapper,75,0,2,0,16,0,3,0,2,0
mend-repo-response/mend-repo-2,aero.sita.bordermanagement.uae.gw.bean,AbstractBaseResultSetExtractor,85,0,6,0,24,0,10,0,7,0
mend-repo-response/mend-repo-2,aero.sita.bordermanagement.uae.gw.bean,GeoPoint,111,0,6,0,29,0,10,0,7,0
mend-repo-response/mend-repo-2,aero.sita.bordermanagement.uae.gw.bean,LocationKey,28,0,0,0,9,0,6,0,6,0
mend-repo-response/mend-repo-2,aero.sita.bordermanagement.uae.gw.bean,AbstractPoliticalState,42,0,4,0,13,0,7,0,5,0
mend-repo-response/mend-repo-2,aero.sita.bordermanagement.uae.gw.bean,OperatorType,74,0,4,0,13,0,4,0,2,0
mend-repo-response/mend-repo-2,aero.sita.bordermanagement.uae.gw.bean,AbstractReferenceData.AbstractReferenceBuilder,32,0,0,0,15,0,8,0,8,0
mend-repo-response/mend-repo-2,aero.sita.bordermanagement.uae.gw.bean,OperatorResultSetExtractor,194,0,2,0,36,0,5,0,4,0
mend-repo-response/mend-repo-2,aero.sita.bordermanagement.uae.gw.bean,CountryUsageType,27,0,0,0,5,0,1,0,1,0
mend-repo-response/mend-repo-2,aero.sita.bordermanagement.uae.gw.bean,LocationUsageType,63,0,0,0,11,0,1,0,1,0
mend-repo-response/mend-repo-2,aero.sita.bordermanagement.uae.gw.bean,AbstractBaseLocationResultSetExtractor,8,0,0,0,3,0,2,0,2,0
mend-repo-response/mend-repo-2,aero.sita.bordermanagement.uae.gw.bean,StatusCodeDesc,31,0,0,0,13,0,9,0,9,0
mend-repo-response/mend-repo-2,aero.sita.bordermanagement.uae.gw.bean,AbstractBaseLocation.BaseLocationBuilder,20,0,0,0,9,0,5,0,5,0
mend-repo-response/mend-repo-2,aero.sita.bordermanagement.uae.gw.bean,CountrySubdivision.CountrySubvisionBuilder,12,0,0,0,4,0,3,0,3,0
mend-repo-response/mend-repo-2,aero.sita.bordermanagement.uae.gw.bean,OperatorCodeType,27,0,0,0,5,0,1,0,1,0
mend-repo-response/mend-repo-2,aero.sita.bordermanagement.uae.gw.bean,AbstractPoliticalStateResultSetExtractor,71,0,4,0,12,0,4,0,2,0
mend-repo-response/mend-repo-2,aero.sita.bordermanagement.uae.gw.bean,GatewayTransactionRowMapper,153,0,18,0,31,0,11,0,2,0
mend-repo-response/mend-repo-2,aero.sita.bordermanagement.uae.gw.bean,CountrySubdivision,24,0,0,0,7,0,5,0,5,0
mend-repo-response/mend-repo-2,aero.sita.bordermanagement.uae.gw.bean,Country,84,0,8,0,20,0,14,0,10,0
mend-repo-response/mend-repo-2,aero.sita.bordermanagement.uae.gw.bean,CountryResultSetExtractor,79,0,2,0,16,0,5,0,4,0
